author_id,review_text,is_recommended,sentiment,sentiment_score
861476438,"I’m a convert. I’ve used oils in my hair before, but I was nervous about using it on my oily skin. I received a sample bottle and found it to absorb beautifully in my skin. I’ve since purchased the large bottle and use it daily in my hair, on my face, neck and hands. I use it under makeup and it applies so much more naturally looking. It creates soft separated waves when applied before using a curling iron. A new staple.",0,positive,0.99
2659695637,"I bought this about a month ago, and I have a noticed a significant difference in my skin it feels smoother it looks clearer. I would take two every night with a sleepytime tea and they go down better than taking it with water. These pills are huge and they stink but i’m not gonna lie these do help so just take your time with them again i’d suggest taking it with a warm beverage to kind of soften it somewhat. Internally body-wise i feel like it makes your body sort of reject junk food because it’s trying to clean your body.",0,positive,0.85
2309675229,this is super great for chapped lips!!,0,positive,1.0
1296293270,"I purchased this on a whim, I had heard about it on YouTube and just thought I’d give it a try. It is a nice rich emollient salve, I use it on my lips, but I found it is also a great hand moisturizer. My aunt is going through chemo and one of the side effects are dry, cracked, and bruised hands. We were out getting her treatment and her hands started to hurt, I improvised and rubbed the salve on her hands and she loved it. The scent is soft and it soothed her hands. It’s safe to say I will be buying tons more of these tins.",0,positive,0.98
2034583706,This stuff works really great. It reduces the size with 24 hours. It can dry you out a little but worth it. Also it can only be used at night or when staying home since it leaves a pink residue.,0,positive,0.85
7872399585,"Horrible. My face broke out really bad with cystic acne. My original concern was small clogged pores, almost like whiteheads. Now my face has 4 huge cystic, painful pimples that I have never gotten before. I wouldn’t recommend if you are prone to breakouts. The oil is very greasy and can clog your pores.",0,negative,0.98
2656870367,I tried this repair balm after receiving my birthday gift of the 2 mini fresh sugar balms. I can’t say enough about it! My lips feel soft and much more hydrated when I wake up. There is a very faint taste of lemon. I highly reccomend it!,0,positive,0.99
1367202801,"As a pharmacist I am naturally squeamish against any product that does not have at least one level of tamper evident packaging however due to the amount of raving reviews I tried to swallow the lump in my throat and go forth with using this cream. Strike was the dispensing mechanism of the jar because of the potential for microbial growth around the opening (I have my bachelors in Microbiology, by which I developed a fantastic case of OCD and know way too much). There is simply no way to keep this jar aseptic, or application microbe-free.Strike three was simply the oiliness of the cream but even with 3 strikes I was willing to stick with it. The dealbreaker was tonight when I saw a piece of black debris in my dispensed pump of cream. Upon sight of this vulgar intruder, I dumped $68 worth of poorly manufactured product in the garbage. It’s a good thing was only a curiosity purchase along with my staple La Mer cream which I will never cheat on again. I’m completely unimpressed and will never speak highly of this brand. Up your product standards, Drunk Elephant.",0,negative,0.85
1304802243,I am a big fan of Tatcha but this cream is not for me. It’s really greasy and never sinks into the skin. It caused me to have breakouts and I haven’t had a pimple in over a decade.,0,negative,0.98
8129130161,"This stuff calmed my irritated, red skin down, but only to a point. I use fairly gentle cleansers, but something in the tap water tends to irritate my skin. While this seems to calm some of that irritation down, it doesn’t do it to the extent that I’d continue paying for this",0,neutral,0.65
2254513698,I love this product. This is the only face cream that has ever produced noticeable results in my skin. I would say my skin is average- not too oily and not too dry but it does require daily cream.The texture is just right- not too thick and not too thin. It also absorbs quickly.I highly recommend pairing this with Murad’s Age Reform exfoliating cleanser. Your skin will thank you.,0,positive,0.99
1593738894,"I’m sad to say that neither this product nor any of the other products that I was sent by The Nue Co actually made any sort of difference on my face/to my skin. This doesn’t mean it wouldn’t work for everyone. Perhaps I just metabolize these supplements differently than other people. My skin did not look any better, brighter or tighter than it normally looks. These supplements did not make me feel ill or anything when I was testing them out for weeks, so that is a good thing. They are fairly easy to swallow, but I’m also not a stranger to taking capsules of this size. If you do have difficulty with drinking capsules though, these may give you some issues. The only reason I’m giving this product 3 stars is because perhaps it will work for someone else.",0,negative,0.85
2397535782,Unfortunately I’m not sure how well this works as I had to stop using it because of how it dries. Once on and dried it’s starts flaking off leaving a trail of the sulfur treatment everywhere especially on my clothes. I’ve used other drying lotions from different brands and didn’t find that to happen. I thought about just using it just a night perhaps but I’m just most of it will just ended up on my pillow.,0,negative,0.98
6334105837,"I wanted to like this moisturizer. It has a nice lightweight texture for day time. However, it caused breakouts on me and like another reviewer said it did seem to cause my face to oil up quite a bit by midday. I got this in the Origins Bestsellers kit and so far nothing I’ve tried has worked on my skin. So disappointed!",0,negative,0.85
2081337741,"This smells amazing and is calming. It also has calmed my skin. I have combination skin. It cleans my skin, without drying it out! This is wonderful given that it is winter, and my skin has been so dry. This fixed my skin so far!",0,positive,0.98
6735691266,This is refreshing but I can’t say it’s much better than a spray bottle filled with your favorite water. The smaller ones are probably a better value at a higher per oz price point simply for the convenience factor.,0,neutral,0.85
1388412622,"I’ve been using this mask for a month or two along with other products in the line. It really does draw out the debris from clogged pores. How do I know? After using this mask regularly in addition to my regular routine for the past month or two I now get a bump followed by a white head (a day or two later) and if I can control my hands and keep from popping in a few days the white head washes away or wipes away as I swipe with toner on a cotton round - no popping no dark spots. Normally, I get a giant zit that takes about a week to mature. I can’t wait that long! I pop it and tear up my face in the process. I have oily skin and I’ve used my regular acne treatment with other masks but never saw this change in the way my skin purges. Very good product. And I’ve received several compliments on how clear my skin looks. This line isn’t cheap, but it does work and I’m not left dealing with acne marks. Yay!",0,positive,0.98
1731060624,Seemed good for the first few days but then was just like any other chap-stick. Might have noticed a difference if I was older and had wrinkles that needed filling up?,0,negative,0.85
11129480967,"I really wanted to love this cleanser, but I am super disappointed. This stuff feels like dish soap AND it has fragrance in it. For reference, I am acne prone with combo skin, and this cleanser made my skin burn. I’m giving it two stars because it did clean my face, and I did notice that my face was left kind of glowy, but it’s probably because of how stripping it is. If you have even remotely sensitive skin I wouldn’t suggest using this product.",0,negative,0.92
9021537153,"I have sensitive, dry skin, and this mist didn’t irritate my skin - but it made me look oily, not dewy.  The mister is good though.",0,neutral,0.65
1506081812,I have combination skin with rosacea. So I need something gentle. You need such a little amount. The smell is light and refreshing. It absorbs so quickly and leaves my skin feeling great.,0,positive,0.98
2638202246,"I love all this Peter Thomas Roth, and this is included. Anti aging properties make me feel better being there, and it doesn’t break me out.",0,positive,0.98
5590708562,"My skin was dry, burning, flaking and I couldn’t put anything on it until someone suggested this and it has completely turned my face around, its lightweight, absorbs quickly and like chugging a glass of water for my face. i wear it morning and night, light enough for applying multiple products and heavy enough so your face feels fully hydrated. Only CON is the price and it only lasts about 1 month, expensive obsession!",0,positive,0.98
1350834998,"This product is great, it actually helps me heal blemishes and prevent for my future breakouts. !!",0,positive,0.99
7973371465,i feel like i can wash my face better with my hands and it broke way too fast. i dont recommended,0,negative,0.98
2764154232,I love this face wash!,0,positive,1.0
23127543439,"I did receive this product for free from Influenster in exchange for an honest view. Did I love this mask? At first, I did. It made my skin look beautiful. It was light and hydrating. After a few weeks of using, my face started to break out and basically get used to the hydration. I had to start using moisturizer again in the morning after my showers. Now, I don’t know if that was in part of the weather or not. The packaging is gorgeous and I LOVED the smell. I might try the moisturizer only in the mornings. I did like the way the moisturizer worked into my skin.",0,neutral,0.65
2227829691,It’s straight up face soap and I love it kind of dies out my skin but it really cleans it.,0,positive,0.85
1285493963,"This is the best spray-on sunscreen I’ve used in a while. It doesn’t leave you sticky like the others and, after being in a chlorinated pool, it makes my skin feel moisturized",0,positive,0.98
1114044534,This is not just some hoax. The “beauty elixir“ is something that is just essential. Its herbs seem to *coax* the radiance from my skin. It’s also great to use (in the bathroom) during airplane flights when the air dehydrates the skin. I love this product.,0,positive,0.98
6338198485,"This product feels really nice - refreshing and smoothing when applied under the eye. I am always a bit bummed when skincare products for around the eye area aren’t also intended for eyelid use, so that’s a downside for me with this product. But primarily, I don’t notice a visual difference between when I do and don’t use this product. So while it feels nice, I don’t see any visual benefits from using it.",0,neutral,0.65
1789270055,"I really loved the idea of a gentle lather face wash, but this just dried me out. I have combo skin so I thought maybe this was just my dry skin freaking out, but I tried using a half pump and even that made my face feel tight and chapped. Oh well.",0,negative,0.85
10821874763,"Loving the gel texture, it’s hydrates my dry skin without making it feel heavy. Has a pleasant citrusy scent and  because it’s gel-based, it gives you a cool feeling when you put it on. Which I love, especially in the morning. Makes me feel fresh and ready for the day :)*I received this product complimentary for testing.",0,positive,0.98
1149971089,Positive - I liked the scentNegative - Broke me out around my mouth. Did nothing for my lips I couldnt already get from other cheaper brands. I was very disappointed as i had not tried anything from drunk elephant before.,0,negative,0.85
8257005868,I loved and still love some of the LANEIGE prosecutes. Yet this one could be a miss if you are not really looking for anything that’s just good value for the money. It’s more like a toner compare to a moisturizer cuz you’ll still need to use a moisturizer afterwards but can’t be heavy anymore cuz this one contains a bit of the oil in it.,0,neutral,0.65
6402630057,"I am in love with this product. I’ve been using it for a few months. It is my must-have product. I have tried so many moisturizers. I have oily skin so I’ve gravitated towards gel moisturizers. Most of the gel moisturizers I tried though weren’t very nourishing, It wasn’t until I tried this that I realized how a gel moisturizer as supposed to be. I am never going back.",0,positive,1.0
20215562728,I have sensitive dry skin I applied it and felt burning instantly and my face got so irritated and red,0,negative,0.98
1505874518,This has to be the holy grail of lip balms. I know its intended for men but I Love this stuff (as well as a few of my male coworkers) its smooths my lips without making them peel and the balm is longer lasting than regular chapstick and isn’t sticky. Its just Lovely! I cant wait to try the Vanilla Lavender and the Black tea ones.,0,positive,0.99
24998050674,I am a huge fan of masks and own a ton of them. I would give this about 3.9 if I could. The packaging is VERY small for the price but the results are not bad. I am not sure if I would repurchase as I have used masks that are less expensive that work just as well if not better.,0,neutral,0.65
2469373062,Its not fancy and does not claim to cure a hundred skin issues. Its an effective scrub plain and simple and very nicely priced. Its a lil minty when appllied so always makes me feel awake after use. Not harsh on my skin and leaves it smooth.,0,positive,0.98
1094154645,"This is going to sound outrageous, but I slathered a sample of this on the other night before bed. I had run out of my usual moisturizer, so I tried this, not expecting anything. I was pleased with the scent and figured I would at least enjoy that aspect of it because products like this never actually work...The next morning, when my mom sees me(I hadnt done anything to my face at this point), she stops in her tracks and immediately asks me what I did to my skin because it looked so moist and glowing!! My mom NEVER comments on stuff like that. I am buying this RIGHT NOW.",0,positive,0.98
1148322296,"I have verrry sensitive skin, so I am always wary to try new products on my face. However, this has been my most monumental discovery since Clinique’s Dramatically Different Lotion years ago. It can take awhile to absorb, so not something I would throw on between a shower and make-up when trying to run out the door. But oh-so moisturizing and lush. Totally in love.",0,positive,0.98
7341623922,Definitely did not help tame my oily skin. My make up looked like it was sliding off with this primer,0,negative,0.98
1810293658,Good but didn’t remove mascara well.  Must be more suitable for oily skin bc it seemed drying. Don’t care for the medicinal smell.,0,negative,0.85
1325856336,I have tried all kinds of lotions and creams but this is the best. Great for sensitive skin. Stays on and clean.,0,positive,0.98
22305030948,I received this for free thanks to Influenster. I am not a fan and did not notice a difference in my skin at all. I do like the bottle but will not be purchasing this product in the future.,0,negative,0.85
11369312596,I wanted to love this so bad but it’s not good for my skin. At first it didn’t bother my skin.  Now I’m having a breakout from what I believe is the fragrance. I don’t usually use anything on my skin with fragrance but I wanted to give it a try. She needs a sensitive skin option.,0,negative,0.85
2010528427,"My daughter gave me a sample size of this scrub cream, which she didn’t like. I loved it. (She’s 21 and I’m 50-something and our skin is totally different.) I’ve seen some comments from people who don’t like the slightly waxy feel when they rinse it off - but I really like the way it feels. When the sample was gone, I purchased a new tube from Sephora online. My daughter didn’t know that and gave me a tube of it, along with some other goodies, for Mothers Day. No problem! I use it regularly. Glad to have 2!",0,positive,0.98
5395372312,"Unfortunately I have to give this a middle of the road review. I received this product for free from Influenster for reviewal purposes. I really liked the texture of this product, it was the perfect consistency and soaked into my skin pretty well. I also loved the smell, very fresh! The reason why I am only giving this product 3 stars is because after a few weeks of using this I realized that it was pretty consistently breaking my out. Obviously everyone’s skin reacts differently to products, so this might be for you, it just wasn’t for me.",0,neutral,0.65
1158746755,"I’ve read some great reviews on this balm so I decided to pick one up as backup after I finish my Farmacy Green Clean.I love the convenience of using cleansing balms because there’s no risk of the product leaking, it’s very easy to control the amount I want and it travels well (I kept my mini spatula from the DE Slaai cleansing balm). This does take off my foundation well just like any other cleansing oil but I’m unsure for the eyes since I use a different makeup remover.There are a couple downsides to this balm. FIrst, it didn’t come with a spatula. If i didn’t keep the one from my other balm, I could see some annoyance at getting this product out. Second, it doesn’t wash off as cleanly as I had hoped. However, between this, the DE Slaai and Farmacy Green Clean, I would rate this #2. It does wash off better than Slaai but still leaves a bit of slip on my skin. The good thing is, it washes off easily with my Kiehl’s cleanser.",0,positive,0.85
1736047339,"I have fair, sensitive, ruddy skin and this product was awesome. I have tried every brand, whether it was expensive or sold in the drug store. This is the only one that didn’t break me out more before it did the trick. Very pleased and highly recommend it to those who are ruddy red heads like myself.",0,positive,0.98
2525493741,"Way too hard to take my makeup off on my face. Had to rub it on my lips forever to take my lipstick off, and was too scared to put it around my eyes. Kinda felt like it was just moving my makeup around on my face instead of removing it. Ended up just using my regular makeup removing wipe. I did like it for removing lipstick swatches off my hand though.",0,negative,0.85
1392818864,"I have problem skin- acne, hyperpigmentation, rough skin. I’ve used several acne (Murad, Proactive, Obagi) and resurfacing treatments at all price points (chemical peels, microdermabrasion). This product really goes above and beyond. Despite it’s price, I will continue to use this product. It’s virtually eliminated my acne and gives my skin a much smoother appearance! This is the best my skin has ever looked. I even use it on my bikini line and it helps with the ingrown hairs.",0,positive,0.99
2800855851,Personally not a fan of the pumpkin smell but still wanted to give this a try. The kernels are quite rough on the skin as well. You’re supposed to massage it for a minute when you first apply it but because it’s so rough I couldn’t really massage it for that long. Afterwards it has a warm tingly feeling that does eventually go away. Probably not suitable for sensitive skin. After I wash it off it does make my skin feel very smooth. Not sure if I see much visible difference in brightness though. Won’t return but won’t repurchase either.,0,neutral,0.65
9988371403,"Love the texture but very drying. I love how the products texture is and how it transforms from gel to lather when you add water and it does a good job and cleansing the face. However at the end of my cleanse, it left my face feeling a little dry. Hence the three stars. It’s a really nice product but I do think that there are better other products on the market for cheaper.  I don’t know that I would repurchase this.",0,neutral,0.62
1963313969,LOVE THIS PRODUCT! I felt the need to use all cap because this product is all that. A saviour to my dry lips during winter.,0,positive,1.0
23989211246,"Did a good job cleansing my skin, but nothing amazing and I don’t think it’s worth the money",0,neutral,0.65
1693012778,"This is one beauty product I swear by because it clears out all the makeup or dirt left in my pores even after washing my face. I use the clarifying lotion on a cotton pad, and after I wipe my face & neck, I can see the stuff that was left in my pores even after using a makeup remover and a separate cleanser.As a related note, I started using BB creams a year ago, and (while I absolutely love the BB creams), I find that they tend to “stick“ in my pores more than my old moisturizer + foundation combo. So I’ve found that the Clarifying Lotion is even more important for clearing out my pores when I’ve put on BB cream.Also, my skin is sensitive & I’m very, very fair, but this lotion has not given me problems.",0,positive,0.98
